Va_rms,Vb_rms,Vc_rms,Ia_rms,Ib_rms,Ic_rms,Va_mag,Va_ang,Ra,Xa,Vb_mag,Vb_ang,Rb,Xb,Vc_mag,Vc_ang,Rc,Xc,RFault,A,B,C,G
6548.97917,6809.185963,6619.999568,0.006548979,0.006809186,0.00662,9261.655162,-1.601813518,1000000.003,-0.108616138,9629.643137,2.609826925,1000000.09,0.052489956,9362.093172,0.554480616,999999.9089,0.057094917,10,0,0,0,0
6551.445924,6809.501162,6618.716185,0.006551446,0.006809501,0.006618716,9265.143678,-1.601665068,1000000.003,-0.108578934,9630.088896,2.610001791,1000000.09,0.052476143,9360.278194,0.554810134,999999.9089,0.057134961,10,0,0,0,0
6550.241028,6809.79185,6621.334002,0.006550241,0.006809792,0.006621334,9263.439699,-1.601828193,1000000.003,-0.108593064,9630.499991,2.609721704,1000000.09,0.052494384,9363.980347,0.55432967,999999.9089,0.057067962,10,0,0,0,0
6548.122119,6809.83811,6620.817914,0.006548122,0.006809838,0.006620818,9260.443109,-1.601439938,1000000.003,-0.108626427,9630.565413,2.609774749,1000000.09,0.05248587,9363.250487,0.554339257,999999.9089,0.057073734,10,0,0,0,0
6549.30393,6809.048519,6618.843075,0.006549304,0.006809049,0.006618843,9262.114441,-1.601879804,1000000.003,-0.10861271,9629.448762,2.60983268,1000000.09,0.052492647,9360.457644,0.554510316,999999.9089,0.057107637,10,0,0,0,0
599.1490266,661.4515804,523.64345,59.88550496,66.45157108,51.82062275,847.3246793,-2.72774621,10.00490879,-0.001989412,935.4337959,1.275160909,9.953075607,0.127269638,740.5436689,-0.83829136,10.10408515,0.130194689,10,1,1,1,1
615.9984137,645.2375088,572.6876368,61.60063119,64.5243157,57.26923948,871.1533111,-2.883086637,9.999871785,4.44E-06,912.5036359,1.198375551,9.999912465,-2.43E-05,809.902623,-0.885393191,9.999916919,2.56E-05,10,1,1,1,1
616.8117666,632.0074096,597.1405036,61.68198775,63.20134626,59.7144743,872.3035657,-2.951985761,9.999868504,1.53E-05,893.7934501,1.18329641,9.999904226,-3.39E-05,844.4841988,-0.904605439,9.999929005,2.16E-05,10,1,1,1,1
606.4093427,622.1105265,606.945012,60.64173969,62.21166469,60.69491878,857.5923168,-2.990118751,9.999867183,1.78E-05,879.7971439,1.181106933,9.99990162,-3.63E-05,858.3498676,-0.925038612,9.9999312,2.04E-05,10,1,1,1,1
617.5585421,619.3229817,618.4861419,61.75667626,61.93290766,61.84903747,873.3596658,-3.014803124,9.999866889,1.74E-05,875.8549603,1.170416942,9.999901589,-3.73E-05,874.67149,-0.922661608,9.999931562,2.00E-05,10,1,1,1,1
617.6109647,618.9312211,619.0124624,61.76191851,61.89373138,61.9016701,873.4338026,-3.016577468,9.999866902,1.74E-05,875.3009271,1.169942683,9.999901563,-3.73E-05,875.4158197,-0.923164173,9.999931528,2.00E-05,10,1,1,1,1
617.6253287,618.8274323,619.1793517,61.76335513,61.88335234,61.91835908,873.4541164,-3.017067375,9.999866869,1.74E-05,875.1541476,1.169845881,9.999901572,-3.73E-05,875.6518367,-0.923289387,9.999931537,2.00E-05,10,1,1,1,1
